part_serial_number,FT_Length_mm,FT_length_category,F_or_B,Layer,Module,PEB_type,Quadrant,Row,SU_Module,SU_Row,SU_type,Vessel
V2:L1:Q3:R1:M13,481.9,28,B,1,13,1B,3,1,3,3,BM01,2
V2:L1:Q3:R1:M12,446.8,31,B,1,12,1B,3,1,2,3,BM01,2
V2:L1:Q3:R1:M11,411.8,34,B,1,11,1B,3,1,1,3,BM01,2
V2:L1:Q3:R1:M10,376.7,37,B,1,10,1B,3,1,5,3,BM02,2
V2:L1:Q3:R1:M9,341.7,40,B,1,9,1B,3,1,4,3,BM02,2
V2:L1:Q3:R1:M8,306.6,44,B,1,8,1B,3,1,3,3,BM02,2
V2:L1:Q3:R9:M2,71.8,60,B,1,2,3B,3,9,2,2,BO04,2
V2:L1:Q3:R9:M1,30.7,62,B,1,1,3B,3,9,1,2,BO04,2
V2:L1:Q3:R10:M7,306.6,44,B,1,7,3B,3,10,5,1,BO05,2
V2:L1:Q3:R10:M6,271.6,48,B,1,6,3B,3,10,4,1,BO05,2
V2:L1:Q3:R10:M5,236.6,51,B,1,5,3B,3,10,3,1,BO05,2
V2:L1:Q3:R10:M4,195.4,54,B,1,4,3B,3,10,2,1,BO05,2
V2:L1:Q3:R10:M3,154.3,56,B,1,3,3B,3,10,1,1,BO05,2
V2:L1:Q2:R2:M3,113.1,58,B,1,3,1B,2,2,3,2,BO01,2
V2:L1:Q2:R2:M2,71.8,60,B,1,2,1B,2,2,2,2,BO01,2
V2:L1:Q2:R2:M1,30.7,62,B,1,1,1B,2,2,1,2,BO01,2
V2:L1:Q2:R3:M17,607.2,9,B,1,17,1B,2,3,3,1,BI01,2
V2:L1:Q2:R3:M16,575.1,15,B,1,16,1B,2,3,2,1,BI01,2
V2:L1:Q2:R3:M15,543.0,21,B,1,15,1B,2,3,1,1,BI01,2
V2:L1:Q2:R3:M14,510.8,25,B,1,14,1B,2,3,5,1,BM01,2
V2:L1:Q2:R15:M6,250.1,50,B,1,6,2F,2,15,6,2,BO08,2
V2:L1:Q2:R15:M5,208.9,53,B,1,5,2F,2,15,5,2,BO08,2
V2:L1:Q2:R15:M4,167.8,55,B,1,4,2F,2,15,4,2,BO08,2
V2:L1:Q2:R15:M3,126.6,57,B,1,3,2F,2,15,3,2,BO08,2
V2:L1:Q2:R15:M2,85.4,59,B,1,2,2F,2,15,2,2,BO08,2
V2:L1:Q2:R15:M1,44.2,61,B,1,1,2F,2,15,1,2,BO08,2
V2:L1:Q2:R16:M13,495.4,27,B,1,13,2F,2,16,2,3,BM09,2
V2:L1:Q3:R1:M7,271.6,48,B,1,7,1B,3,1,2,3,BM02,2
V2:L1:Q3:R1:M6,236.6,51,B,1,6,1B,3,1,1,3,BM02,2
V2:L1:Q3:R1:M5,195.4,54,B,1,5,1B,3,1,5,3,BO01,2
V2:L1:Q3:R1:M4,154.3,56,B,1,4,1B,3,1,4,3,BO01,2
V2:L1:Q3:R1:M3,113.1,58,B,1,3,1B,3,1,3,3,BO01,2
V2:L1:Q3:R1:M2,71.8,60,B,1,2,1B,3,1,2,3,BO01,2
V2:L1:Q3:R1:M1,30.7,62,B,1,1,1B,3,1,1,3,BO01,2
V2:L1:Q3:R11:M2,113.1,58,B,1,2,3B,3,11,2,2,BO06,2
V2:L1:Q3:R11:M1,71.8,60,B,1,1,3B,3,11,1,2,BO06,2
V2:L1:Q3:R12:M5,265.5,49,B,1,5,3B,3,12,5,1,BO06,2
V2:L1:Q3:R12:M4,230.5,52,B,1,4,3B,3,12,4,1,BO06,2
V2:L1:Q3:R12:M3,195.4,54,B,1,3,3B,3,12,3,1,BO06,2
V2:L1:Q3:R12:M2,154.3,56,B,1,2,3B,3,12,2,1,BO06,2
V2:L1:Q3:R12:M1,113.1,58,B,1,1,3B,3,12,1,1,BO06,2
V2:L1:Q3:R13:M3,271.6,48,B,1,3,3B,3,13,3,2,BO07,2
V2:L1:Q2:R3:M13,475.8,29,B,1,13,1B,2,3,4,1,BM01,2
V2:L1:Q2:R3:M12,440.7,32,B,1,12,1B,2,3,3,1,BM01,2
V2:L1:Q2:R3:M11,405.7,35,B,1,11,1B,2,3,2,1,BM01,2
V2:L1:Q2:R3:M10,370.6,38,B,1,10,1B,2,3,1,1,BM01,2
V2:L1:Q2:R3:M9,335.6,41,B,1,9,1B,2,3,4,1,BM02,2
V2:L1:Q2:R3:M8,300.5,45,B,1,8,1B,2,3,3,1,BM02,2
V2:L1:Q2:R3:M7,265.5,49,B,1,7,1B,2,3,2,1,BM02,2
V2:L1:Q2:R16:M12,460.4,30,B,1,12,2F,2,16,1,3,BM09,2
V2:L1:Q2:R16:M11,425.3,33,B,1,11,2F,2,16,5,1,BM08,2
V2:L1:Q2:R16:M10,390.3,36,B,1,10,2F,2,16,4,1,BM08,2
V2:L1:Q2:R16:M9,355.2,39,B,1,9,2F,2,16,3,1,BM08,2
V2:L1:Q2:R16:M8,320.2,42,B,1,8,2F,2,16,2,1,BM08,2
V2:L1:Q2:R16:M7,285.1,46,B,1,7,2F,2,16,1,1,BM08,2
V2:L1:Q2:R16:M6,250.1,50,B,1,6,2F,2,16,6,1,BO08,2
V2:L1:Q3:R2:M18,636.5,5,B,1,18,1B,3,2,4,2,BI01,2
V2:L1:Q3:R2:M17,604.3,10,B,1,17,1B,3,2,3,2,BI01,2
V2:L1:Q3:R2:M16,572.2,16,B,1,16,1B,3,2,2,2,BI01,2
V2:L1:Q3:R2:M15,540.1,22,B,1,15,1B,3,2,1,2,BI01,2
V2:L1:Q3:R2:M14,507.9,26,B,1,14,1B,3,2,5,2,BM01,2
V2:L1:Q3:R2:M13,475.8,29,B,1,13,1B,3,2,4,2,BM01,2
V2:L1:Q3:R2:M12,440.7,32,B,1,12,1B,3,2,3,2,BM01,2
V2:L1:Q3:R15:M1,44.2,61,B,1,1,2F,3,15,1,2,BO08,2
V2:L1:Q3:R16:M13,495.4,27,B,1,13,2F,3,16,2,3,BM09,2
V2:L1:Q3:R16:M12,460.4,30,B,1,12,2F,3,16,1,3,BM09,2
V2:L1:Q3:R16:M11,425.3,33,B,1,11,2F,3,16,5,1,BM08,2
V2:L1:Q3:R16:M10,390.3,36,B,1,10,2F,3,16,4,1,BM08,2
V2:L1:Q3:R16:M9,355.2,39,B,1,9,2F,3,16,3,1,BM08,2
V2:L1:Q3:R16:M8,320.2,42,B,1,8,2F,3,16,2,1,BM08,2
V2:L1:Q3:R16:M7,285.1,46,B,1,7,2F,3,16,1,1,BM08,2
V2:L1:Q2:R3:M6,230.5,52,B,1,6,1B,2,3,1,1,BM02,2
V2:L1:Q2:R3:M5,195.4,54,B,1,5,1B,2,3,5,1,BO01,2
V2:L1:Q2:R3:M4,154.3,56,B,1,4,1B,2,3,4,1,BO01,2
V2:L1:Q2:R3:M3,113.1,58,B,1,3,1B,2,3,3,1,BO01,2
V2:L1:Q2:R3:M2,71.8,60,B,1,2,1B,2,3,2,1,BO01,2
V2:L1:Q2:R3:M1,30.7,62,B,1,1,1B,2,3,1,1,BO01,2
V2:L1:Q2:R4:M15,552.0,18,B,1,15,2B,2,4,5,2,BM03,2
V2:L1:Q2:R16:M5,208.9,53,B,1,5,2F,2,16,5,1,BO08,2
V2:L1:Q2:R16:M4,167.8,55,B,1,4,2F,2,16,4,1,BO08,2
V2:L1:Q2:R16:M3,126.6,57,B,1,3,2F,2,16,3,1,BO08,2
V2:L1:Q2:R16:M2,85.4,59,B,1,2,2F,2,16,2,1,BO08,2
V2:L1:Q2:R16:M1,44.2,61,B,1,1,2F,2,16,1,1,BO08,2
V2:L1:Q2:R17:M15,565.5,17,B,1,15,2F,2,17,3,2,BM09,2
V2:L1:Q2:R17:M14,530.4,23,B,1,14,2F,2,17,2,2,BM09,2
V2:L1:Q3:R2:M11,405.7,35,B,1,11,1B,3,2,2,2,BM01,2
V2:L1:Q3:R2:M10,370.6,38,B,1,10,1B,3,2,1,2,BM02,2
V2:L1:Q3:R2:M9,335.6,41,B,1,9,1B,3,2,4,2,BM02,2
V2:L1:Q3:R2:M8,300.5,45,B,1,8,1B,3,2,3,2,BM02,2
V2:L1:Q3:R2:M7,265.5,49,B,1,7,1B,3,2,2,2,BM02,2
V2:L1:Q3:R2:M6,230.5,52,B,1,6,1B,3,2,1,2,BM02,2
V2:L1:Q3:R2:M5,195.4,54,B,1,5,1B,3,2,5,2,BO01,2
V2:L1:Q3:R16:M6,250.1,50,B,1,6,2F,3,16,6,1,BO08,2
V2:L1:Q3:R16:M5,208.9,53,B,1,5,2F,3,16,5,1,BO08,2
V2:L1:Q3:R16:M4,167.8,55,B,1,4,2F,3,16,4,1,BO08,2
V2:L1:Q3:R16:M3,126.6,57,B,1,3,2F,3,16,3,1,BO08,2
V2:L1:Q3:R16:M2,85.4,59,B,1,2,2F,3,16,2,1,BO08,2
V2:L1:Q3:R16:M1,44.2,61,B,1,1,2F,3,16,1,1,BO08,2
V2:L1:Q3:R17:M15,565.5,17,B,1,15,2F,3,17,3,2,BM09,2
V2:L1:Q2:R4:M14,516.9,24,B,1,14,2B,2,4,4,2,BM03,2
V2:L1:Q2:R4:M13,481.9,28,B,1,13,2B,2,4,3,2,BM03,2
V2:L1:Q2:R4:M12,446.8,31,B,1,12,2B,2,4,2,2,BM03,2
V2:L1:Q2:R4:M11,411.8,34,B,1,11,2B,2,4,1,2,BM03,2
V2:L1:Q2:R4:M10,376.7,37,B,1,10,2B,2,4,4,2,BM04,2
V2:L1:Q2:R4:M9,341.7,40,B,1,9,2B,2,4,3,2,BM04,2
V2:L1:Q2:R4:M8,306.6,44,B,1,8,2B,2,4,2,2,BM04,2
V2:L1:Q2:R17:M13,495.4,27,B,1,13,2F,2,17,1,2,BM09,2
V2:L1:Q2:R17:M12,460.4,30,B,1,12,2F,2,17,6,2,BM10,2
V2:L1:Q2:R17:M11,425.3,33,B,1,11,2F,2,17,5,2,BM10,2
V2:L1:Q2:R17:M10,390.3,36,B,1,10,2F,2,17,4,2,BM10,2
V2:L1:Q2:R17:M9,355.2,39,B,1,9,2F,2,17,3,2,BM10,2
V2:L1:Q2:R17:M8,320.2,42,B,1,8,2F,2,17,2,2,BM10,2
V2:L1:Q2:R17:M7,285.1,46,B,1,7,2F,2,17,1,2,BM10,2
V2:L1:Q3:R2:M4,154.3,56,B,1,4,1B,3,2,4,2,BO01,2
V2:L1:Q3:R2:M3,113.1,58,B,1,3,1B,3,2,3,2,BO01,2
V2:L1:Q3:R2:M2,71.8,60,B,1,2,1B,3,2,2,2,BO01,2
V2:L1:Q3:R2:M1,30.7,62,B,1,1,1B,3,2,1,2,BO01,2
V2:L1:Q3:R3:M17,607.2,9,B,1,17,1B,3,3,3,1,BI01,2
V2:L1:Q3:R3:M16,575.1,15,B,1,16,1B,3,3,2,1,BI01,2
V2:L1:Q3:R3:M15,543.0,21,B,1,15,1B,3,3,1,1,BI01,2
V2:L1:Q3:R13:M2,236.6,51,B,1,2,3B,3,13,2,2,BO07,2
V2:L1:Q3:R13:M1,195.4,54,B,1,1,3B,3,13,1,2,BO07,2
V2:L1:Q3:R14:M1,306.6,44,B,1,1,3B,3,14,1,1,BO07,2
V2:L1:Q3:R15:M11,425.3,33,B,1,11,2F,3,15,5,2,BM08,2
V2:L1:Q3:R15:M10,390.3,36,B,1,10,2F,3,15,4,2,BM08,2
V2:L1:Q3:R15:M9,355.2,39,B,1,9,2F,3,15,3,2,BM08,2
V2:L1:Q3:R15:M8,320.2,42,B,1,8,2F,3,15,2,2,BM08,2
V2:L1:Q2:R4:M7,271.6,48,B,1,7,2B,2,4,1,2,BM04,2
V2:L1:Q2:R4:M6,236.6,51,B,1,6,2B,2,4,6,2,BO02,2
V2:L1:Q2:R4:M5,195.4,54,B,1,5,2B,2,4,5,2,BO02,2
V2:L1:Q2:R4:M4,154.3,56,B,1,4,2B,2,4,4,2,BO02,2
V2:L1:Q2:R4:M3,113.1,58,B,1,3,2B,2,4,3,2,BO02,2
V2:L1:Q2:R4:M2,71.8,60,B,1,2,2B,2,4,2,2,BO02,2
V2:L1:Q2:R4:M1,30.7,62,B,1,1,2B,2,4,1,2,BO02,2
V2:L1:Q2:R17:M6,250.1,50,B,1,6,2F,2,17,6,2,BO10,2
V2:L1:Q2:R17:M5,208.9,53,B,1,5,2F,2,17,5,2,BO10,2
V2:L1:Q2:R17:M4,167.8,55,B,1,4,2F,2,17,4,2,BO10,2
V2:L1:Q2:R17:M3,126.6,57,B,1,3,2F,2,17,3,2,BO10,2
V2:L1:Q2:R17:M2,85.4,59,B,1,2,2F,2,17,2,2,BO10,2
V2:L1:Q2:R17:M1,44.2,61,B,1,1,2F,2,17,1,2,BO10,2
V2:L1:Q2:R18:M17,632.7,6,B,1,17,2F,2,18,2,1,BI10,2
V2:L1:Q3:R3:M14,510.8,25,B,1,14,1B,3,3,5,1,BM01,2
V2:L1:Q3:R3:M13,475.8,29,B,1,13,1B,3,3,4,1,BM01,2
V2:L1:Q3:R3:M12,440.7,32,B,1,12,1B,3,3,3,1,BM01,2
V2:L1:Q3:R3:M11,405.7,35,B,1,11,1B,3,3,2,1,BM01,2
V2:L1:Q3:R3:M10,370.6,38,B,1,10,1B,3,3,1,1,BM01,2
V2:L1:Q3:R3:M9,335.6,41,B,1,9,1B,3,3,4,1,BM02,2
V2:L1:Q3:R3:M8,300.5,45,B,1,8,1B,3,3,3,1,BM02,2
V2:L1:Q3:R17:M14,530.4,23,B,1,14,2F,3,17,2,2,BM09,2
V2:L1:Q3:R17:M13,495.4,27,B,1,13,2F,3,17,1,2,BM09,2
V2:L1:Q3:R17:M12,460.4,30,B,1,12,2F,3,17,6,2,BM10,2
V2:L1:Q3:R17:M11,425.3,33,B,1,11,2F,3,17,5,2,BM10,2
V2:L1:Q3:R17:M10,390.3,36,B,1,10,2F,3,17,4,2,BM10,2
V2:L1:Q3:R17:M9,355.2,39,B,1,9,2F,3,17,3,2,BM10,2
V2:L1:Q3:R17:M8,320.2,42,B,1,8,2F,3,17,2,2,BM10,2
V2:L1:Q2:R5:M13,481.9,28,B,1,13,2B,2,5,3,1,BM03,2
V2:L1:Q2:R5:M12,446.8,31,B,1,12,2B,2,5,2,1,BM03,2
V2:L1:Q2:R5:M11,411.8,34,B,1,11,2B,2,5,1,1,BM03,2
V2:L1:Q2:R5:M10,376.7,37,B,1,10,2B,2,5,4,1,BM04,2
V2:L1:Q2:R5:M9,341.7,40,B,1,9,2B,2,5,3,1,BM04,2
V2:L1:Q2:R5:M8,306.6,44,B,1,8,2B,2,5,2,1,BM04,2
V2:L1:Q2:R5:M7,271.6,48,B,1,7,2B,2,5,1,1,BM04,2
V2:L1:Q2:R18:M16,600.5,11,B,1,16,2F,2,18,1,1,BI10,2
V2:L1:Q2:R18:M15,565.5,17,B,1,15,2F,2,18,3,1,BM09,2
V2:L1:Q2:R18:M14,530.4,23,B,1,14,2F,2,18,2,1,BM09,2
V2:L1:Q2:R18:M13,495.4,27,B,1,13,2F,2,18,1,1,BM09,2
V2:L1:Q2:R18:M12,460.4,30,B,1,12,2F,2,18,6,1,BM10,2
V2:L1:Q2:R18:M11,425.3,33,B,1,11,2F,2,18,5,1,BM10,2
V2:L1:Q2:R18:M10,390.3,36,B,1,10,2F,2,18,4,1,BM10,2
V2:L1:Q3:R3:M7,265.5,49,B,1,7,1B,3,3,2,1,BM02,2
V2:L1:Q3:R3:M6,230.5,52,B,1,6,1B,3,3,1,1,BM02,2
V2:L1:Q3:R3:M5,195.4,54,B,1,5,1B,3,3,5,1,BO01,2
V2:L1:Q3:R3:M4,154.3,56,B,1,4,1B,3,3,4,1,BO01,2
V2:L1:Q3:R3:M3,113.1,58,B,1,3,1B,3,3,3,1,BO01,2
V2:L1:Q3:R3:M2,71.8,60,B,1,2,1B,3,3,2,1,BO01,2
V2:L1:Q3:R3:M1,30.7,62,B,1,1,1B,3,3,1,1,BO01,2
V2:L1:Q3:R17:M7,285.1,46,B,1,7,2F,3,17,1,2,BM10,2
V2:L1:Q3:R17:M6,250.1,50,B,1,6,2F,3,17,6,2,BO10,2
V2:L1:Q3:R17:M5,208.9,53,B,1,5,2F,3,17,5,2,BO10,2
V2:L1:Q3:R17:M4,167.8,55,B,1,4,2F,3,17,4,2,BO10,2
V2:L1:Q3:R17:M3,126.6,57,B,1,3,2F,3,17,3,2,BO10,2
V2:L1:Q3:R17:M2,85.4,59,B,1,2,2F,3,17,2,2,BO10,2
V2:L1:Q3:R17:M1,44.2,61,B,1,1,2F,3,17,1,2,BO10,2
V2:L1:Q2:R5:M6,236.6,51,B,1,6,2B,2,5,6,1,BO02,2
V2:L1:Q2:R5:M5,195.4,54,B,1,5,2B,2,5,5,1,BO02,2
V2:L1:Q2:R5:M4,154.3,56,B,1,4,2B,2,5,4,1,BO02,2
V2:L1:Q2:R5:M3,113.1,58,B,1,3,2B,2,5,3,1,BO02,2
V2:L1:Q2:R5:M2,71.8,60,B,1,2,2B,2,5,2,1,BO02,2
V2:L1:Q2:R5:M1,30.7,62,B,1,1,2B,2,5,1,1,BO02,2
V2:L1:Q2:R6:M11,411.8,34,B,1,11,2B,2,6,5,2,BM05,2
V2:L1:Q2:R18:M9,355.2,39,B,1,9,2F,2,18,3,1,BM10,2
V2:L1:Q2:R18:M8,320.2,42,B,1,8,2F,2,18,2,1,BM10,2
V2:L1:Q2:R18:M7,285.1,46,B,1,7,2F,2,18,1,1,BM10,2
V2:L1:Q2:R18:M6,250.1,50,B,1,6,2F,2,18,6,1,BO10,2
V2:L1:Q2:R18:M5,208.9,53,B,1,5,2F,2,18,5,1,BO10,2
V2:L1:Q2:R18:M4,167.8,55,B,1,4,2F,2,18,4,1,BO10,2
V2:L1:Q2:R18:M3,126.6,57,B,1,3,2F,2,18,3,1,BO10,2
V2:L1:Q3:R4:M15,552.0,18,B,1,15,2B,3,4,5,2,BM03,2
V2:L1:Q3:R4:M14,516.9,24,B,1,14,2B,3,4,4,2,BM03,2
V2:L1:Q3:R4:M13,481.9,28,B,1,13,2B,3,4,3,2,BM03,2
V2:L1:Q3:R4:M12,446.8,31,B,1,12,2B,3,4,2,2,BM03,2
V2:L1:Q3:R4:M11,411.8,34,B,1,11,2B,3,4,1,2,BM03,2
V2:L1:Q3:R4:M10,376.7,37,B,1,10,2B,3,4,4,2,BM04,2
V2:L1:Q3:R4:M9,341.7,40,B,1,9,2B,3,4,3,2,BM04,2
V2:L1:Q3:R15:M7,285.1,46,B,1,7,2F,3,15,1,2,BM08,2
V2:L1:Q3:R15:M6,250.1,50,B,1,6,2F,3,15,6,2,BO08,2
V2:L1:Q3:R15:M5,208.9,53,B,1,5,2F,3,15,5,2,BO08,2
V2:L1:Q3:R15:M4,167.8,55,B,1,4,2F,3,15,4,2,BO08,2
V2:L1:Q3:R15:M3,126.6,57,B,1,3,2F,3,15,3,2,BO08,2
V2:L1:Q3:R15:M2,85.4,59,B,1,2,2F,3,15,2,2,BO08,2
V2:L1:Q2:R6:M10,376.7,37,B,1,10,2B,2,6,4,2,BM05,2
V2:L1:Q2:R6:M9,341.7,40,B,1,9,2B,2,6,3,2,BM05,2
V2:L1:Q2:R6:M8,306.6,44,B,1,8,2B,2,6,2,2,BM05,2
V2:L1:Q2:R6:M7,271.6,48,B,1,7,2B,2,6,1,2,BM05,2
V2:L1:Q2:R6:M6,236.6,51,B,1,6,2B,2,6,6,2,BO03,2
V2:L1:Q2:R6:M5,195.4,54,B,1,5,2B,2,6,5,2,BO03,2
V2:L1:Q2:R6:M4,154.3,56,B,1,4,2B,2,6,4,2,BO03,2
V2:L1:Q2:R18:M2,85.4,59,B,1,2,2F,2,18,2,1,BO10,2
V2:L1:Q2:R18:M1,44.2,61,B,1,1,2F,2,18,1,1,BO10,2
V2:L1:Q2:R19:M19,683.5,1,B,1,19,1F,2,19,4,3,BI12,2
V2:L1:Q2:R19:M18,649.0,2,B,1,18,1F,2,19,3,3,BI12,2
V2:L1:Q2:R19:M17,614.5,7,B,1,17,1F,2,19,2,3,BI12,2
V2:L1:Q2:R19:M16,579.9,14,B,1,16,1F,2,19,1,3,BI12,2
V2:L1:Q2:R19:M15,545.4,20,B,1,15,1F,2,19,5,3,BM11,2
V2:L1:Q3:R4:M8,306.6,44,B,1,8,2B,3,4,2,2,BM04,2
V2:L1:Q3:R4:M7,271.6,48,B,1,7,2B,3,4,1,2,BM04,2
V2:L1:Q3:R4:M6,236.6,51,B,1,6,2B,3,4,6,2,BO02,2
V2:L1:Q3:R4:M5,195.4,54,B,1,5,2B,3,4,5,2,BO02,2
V2:L1:Q3:R4:M4,154.3,56,B,1,4,2B,3,4,4,2,BO02,2
V2:L1:Q3:R4:M3,113.1,58,B,1,3,2B,3,4,3,2,BO02,2
V2:L1:Q3:R4:M2,71.8,60,B,1,2,2B,3,4,2,2,BO02,2
V2:L1:Q3:R18:M17,632.7,6,B,1,17,2F,3,18,2,1,BI10,2
V2:L1:Q3:R18:M16,600.5,11,B,1,16,2F,3,18,1,1,BI10,2
V2:L1:Q3:R18:M15,565.5,17,B,1,15,2F,3,18,3,1,BM09,2
V2:L1:Q3:R18:M14,530.4,23,B,1,14,2F,3,18,2,1,BM09,2
V2:L1:Q3:R18:M13,495.4,27,B,1,13,2F,3,18,1,1,BM09,2
V2:L1:Q3:R18:M12,460.4,30,B,1,12,2F,3,18,6,1,BM10,2
V2:L1:Q2:R6:M3,113.1,58,B,1,3,2B,2,6,3,2,BO03,2
V2:L1:Q2:R6:M2,71.8,60,B,1,2,2B,2,6,2,2,BO03,2
V2:L1:Q2:R6:M1,30.7,62,B,1,1,2B,2,6,1,2,BO03,2
V2:L1:Q2:R7:M9,341.7,40,B,1,9,2B,2,7,3,1,BM05,2
V2:L1:Q2:R7:M8,306.6,44,B,1,8,2B,2,7,2,1,BM05,2
V2:L1:Q2:R7:M7,271.6,48,B,1,7,2B,2,7,1,1,BM05,2
V2:L1:Q2:R7:M6,236.6,51,B,1,6,2B,2,7,6,1,BO03,2
V2:L1:Q2:R19:M14,510.8,25,B,1,14,1F,2,19,4,3,BM11,2
V2:L1:Q2:R19:M13,475.8,29,B,1,13,1F,2,19,3,3,BM11,2
V2:L1:Q2:R19:M12,440.7,32,B,1,12,1F,2,19,2,3,BM11,2
V2:L1:Q2:R19:M11,405.7,35,B,1,11,1F,2,19,1,3,BM11,2
V2:L1:Q2:R19:M10,370.6,38,B,1,10,1F,2,19,4,3,BM12,2
V2:L1:Q2:R19:M9,335.6,41,B,1,9,1F,2,19,3,3,BM12,2
V2:L1:Q2:R19:M8,300.5,45,B,1,8,1F,2,19,2,3,BM12,2
V2:L1:Q3:R4:M1,30.7,62,B,1,1,2B,3,4,1,2,BO02,2
V2:L1:Q3:R5:M13,481.9,28,B,1,13,2B,3,5,3,1,BM03,2
V2:L1:Q3:R5:M12,446.8,31,B,1,12,2B,3,5,2,1,BM03,2
V2:L1:Q3:R5:M11,411.8,34,B,1,11,2B,3,5,1,1,BM03,2
V2:L1:Q3:R5:M10,376.7,37,B,1,10,2B,3,5,4,1,BM04,2
V2:L1:Q3:R5:M9,341.7,40,B,1,9,2B,3,5,3,1,BM04,2
V2:L1:Q3:R5:M8,306.6,44,B,1,8,2B,3,5,2,1,BM04,2
V2:L1:Q3:R10:M2,113.1,58,B,1,2,3B,3,10,2,1,BO04,2
V2:L1:Q3:R10:M1,71.8,60,B,1,1,3B,3,10,1,1,BO04,2
V2:L1:Q3:R11:M6,271.6,48,B,1,6,3B,3,11,6,2,BO06,2
V2:L1:Q3:R11:M5,236.6,51,B,1,5,3B,3,11,5,2,BO06,2
V2:L1:Q3:R11:M4,195.4,54,B,1,4,3B,3,11,4,2,BO06,2
V2:L1:Q3:R11:M3,154.3,56,B,1,3,3B,3,11,3,2,BO06,2
V2:L1:Q2:R7:M5,195.4,54,B,1,5,2B,2,7,5,1,BO03,2
V2:L1:Q2:R7:M4,154.3,56,B,1,4,2B,2,7,4,1,BO03,2
V2:L1:Q2:R7:M3,113.1,58,B,1,3,2B,2,7,3,1,BO03,2
V2:L1:Q2:R7:M2,71.8,60,B,1,2,2B,2,7,2,1,BO03,2
V2:L1:Q2:R7:M1,30.7,62,B,1,1,2B,2,7,1,1,BO03,2
V2:L1:Q2:R8:M9,355.2,39,B,1,9,3B,2,8,2,1,BM06,2
V2:L1:Q2:R8:M8,312.8,43,B,1,8,3B,2,8,1,1,BM06,2
V2:L1:Q2:R19:M7,265.5,49,B,1,7,1F,2,19,1,3,BM12,2
V2:L1:Q2:R19:M6,230.5,52,B,1,6,1F,2,19,6,3,BO12,2
V2:L1:Q2:R19:M5,195.4,54,B,1,5,1F,2,19,5,3,BO12,2
V2:L1:Q2:R19:M4,154.3,56,B,1,4,1F,2,19,4,3,BO12,2
V2:L1:Q2:R19:M3,113.1,58,B,1,3,1F,2,19,3,3,BO12,2
V2:L1:Q3:R5:M7,271.6,48,B,1,7,2B,3,5,1,1,BM04,2
V2:L1:Q3:R5:M6,236.6,51,B,1,6,2B,3,5,6,1,BO02,2
V2:L1:Q3:R5:M5,195.4,54,B,1,5,2B,3,5,5,1,BO02,2
V2:L1:Q3:R5:M4,154.3,56,B,1,4,2B,3,5,4,1,BO02,2
V2:L1:Q3:R5:M3,113.1,58,B,1,3,2B,3,5,3,1,BO02,2
V2:L1:Q3:R5:M2,71.8,60,B,1,2,2B,3,5,2,1,BO02,2
V2:L1:Q3:R5:M1,30.7,62,B,1,1,2B,3,5,1,1,BO02,2
V2:L1:Q1:R21:M10,370.6,38,B,1,10,1F,1,21,5,1,BM12,2
V2:L1:Q1:R21:M9,335.6,41,B,1,9,1F,1,21,4,1,BM12,2
V2:L1:Q1:R21:M8,300.5,45,B,1,8,1F,1,21,3,1,BM12,2
V2:L1:Q1:R21:M7,265.5,49,B,1,7,1F,1,21,2,1,BM12,2
V2:L1:Q1:R21:M6,230.5,52,B,1,6,1F,1,21,1,1,BM12,2
V2:L1:Q1:R21:M5,195.4,54,B,1,5,1F,1,21,5,1,BO12,2
V2:L1:Q1:R21:M4,154.3,56,B,1,4,1F,1,21,4,1,BO12,2
V2:L1:Q1:R21:M3,113.1,58,B,1,3,1F,1,21,3,1,BO12,2
V2:L1:Q2:R8:M7,277.7,47,B,1,7,3B,2,8,3,3,BO05,2
V2:L1:Q2:R8:M6,236.6,51,B,1,6,3B,2,8,2,3,BO05,2
V2:L1:Q2:R8:M5,195.4,54,B,1,5,3B,2,8,1,3,BO05,2
V2:L1:Q2:R8:M4,154.3,56,B,1,4,3B,2,8,4,3,BO04,2
V2:L1:Q2:R8:M3,113.1,58,B,1,3,3B,2,8,3,3,BO04,2
V2:L1:Q2:R8:M2,71.8,60,B,1,2,3B,2,8,2,3,BO04,2
V2:L1:Q2:R8:M1,30.7,62,B,1,1,3B,2,8,1,3,BO04,2
V2:L1:Q2:R19:M2,71.8,60,B,1,2,1F,2,19,2,3,BO12,2
V2:L1:Q2:R19:M1,30.7,62,B,1,1,1F,2,19,1,3,BO12,2
V2:L1:Q2:R20:M18,645.5,3,B,1,18,1F,2,20,4,2,BI12,2
V2:L1:Q2:R20:M17,613.3,8,B,1,17,1F,2,20,3,2,BI12,2
V2:L1:Q2:R20:M16,581.2,13,B,1,16,1F,2,20,2,2,BI12,2
V2:L1:Q2:R20:M15,549.1,19,B,1,15,1F,2,20,1,2,BI12,2
V2:L1:Q2:R20:M14,516.9,24,B,1,14,1F,2,20,4,2,BM11,2
V2:L1:Q3:R6:M11,411.8,34,B,1,11,2B,3,6,5,2,BM05,2
V2:L1:Q3:R6:M10,376.7,37,B,1,10,2B,3,6,4,2,BM05,2
V2:L1:Q3:R6:M9,341.7,40,B,1,9,2B,3,6,3,2,BM05,2
V2:L1:Q3:R6:M8,306.6,44,B,1,8,2B,3,6,2,2,BM05,2
